SNP_ID	Chromosome
abph1.20	2
abph1.22	2
ae1.3	5
ae1.4	5
ae1.5	5
an1.4	1
ba1.6	3
ba1.9	3
bt2.5	4
bt2.7	4
bt2.8	4
Fea2.1	4
Fea2.5	4
id1.3	1
lg2.11	3
lg2.2	3
pbf1.1	2
pbf1.2	2
pbf1.3	2
pbf1.5	2
pbf1.6	2
pbf1.7	2
pbf1.8	2
PZA00003.11	6
PZA00004.2	5
PZA00005.8	4
PZA00005.9	4
PZA00006.13	6
PZA00006.14	6
PZA00008.1	2
PZA00010.5	1
PZA00013.10	1
PZA00013.11	1
PZA00013.9	1
PZA00015.4	9
PZA00017.1	1
PZA00018.5	8
PZA00029.11	2
PZA00029.12	2
PZA00030.11	multiple
PZA00031.5	5
PZA00041.3	6
PZA00042.2	6
PZA00042.5	6
PZA00043.7	7
PZA00045.1	8
PZA00047.2	3
PZA00049.12	8
PZA00050.9	1
PZA00051.2	4
PZA00058.5	8
PZA00058.6	8
PZA00060.2	9
PZA00061.1	2
PZA00065.2	unknown
PZA00069.4	5
PZA00070.5	9
PZA00078.2	4
PZA00079.1	10
PZA00081.17	1
PZA00084.2	7
PZA00084.3	7
PZA00086.8	unknown
PZA00088.3	3
PZA00090.2	8
PZA00092.1	4
PZA00092.5	4
PZA00093.2	8
PZA00096.26	7
PZA00097.13	8
PZA00098.14	1
PZA00100.10	3
PZA00100.12	3
PZA00100.14	3
PZA00100.9	3
PZA00103.20	unknown
PZA00106.9	1
PZA00107.18	3
PZA00108.12	2
PZA00108.14	2
PZA00108.15	2
PZA00109.3	3
PZA00109.5	3
PZA00111.2	7
PZA00111.4	7
PZA00111.5	7
PZA00111.6	7
PZA00111.8	7
PZA00114.3	3
PZA00116.2	9
PZA00119.4	1
PZA00120.4	8
PZA00123.1	9
PZA00125.2	4
PZA00131.14	1
PZA00132.17	7
PZA00132.18	7
PZA00132.3	7
PZA00135.6	10
PZA00137.2	1
PZA00139.14	4
PZA00140.10	2
PZA00140.6	2
PZA00140.9	2
PZA00142.6	8
PZA00148.2	unknown
PZA00153.3	unknown
PZA00153.6	unknown
PZA00163.4	2
PZA00164.1	2
PZA00164.2	2
PZA00164.3	2
PZA00166.1	3
PZA00166.3	3
PZA00170.1	2
PZA00170.3	2
PZA00170.4	2
PZA00174.1	10
PZA00174.2	10
PZA00175.2	1
PZA00176.8	2
PZA00177.4	8
PZA00178.3	7
PZA00182.3	6
PZA00182.4	6
PZA00184.1	9
PZA00184.4	9
PZA00188.1	7
PZA00188.3	7
PZA00191.5	5
PZA00192.6	1
PZA00192.7	1
PZA00193.2	4
PZA00198.39	6
PZA00200.11	2
PZA00200.17	2
PZA00200.9	2
PZA00201.2	3
PZA00204.1	10
PZA00210.1	3
PZA00210.6	3
PZA00211.7	7
PZA00212.1	6
PZA00213.19	9
PZA00214.1	6
PZA00216.9	4
PZA00218.1	4
PZA00218.6	4
PZA00219.7	3
PZA00220.11	3
PZA00220.12	3
PZA00221.7	unknown
PZA00225.8	9
PZA00226.7	2
PZA00227.8	7
PZA00230.5	1
PZA00232.24	3
PZA00234.21	3
PZA00235.6	1
PZA00235.8	1
PZA00237.2	2
PZA00237.7	2
PZA00237.8	2
PZA00238.3	2
PZA00240.9	1
PZA00241.6	6
PZA00243.27	1
PZA00245.14	1
PZA00245.16	1
PZA00245.17	1
PZA00245.18	1
PZA00245.19	1
PZA00249.2	5
PZA00250.1	6
PZA00251.1	10
PZA00254.3	3
PZA00255.15	5
PZA00255.17	5
PZA00256.16	7
PZA00256.21	7
PZA00256.23	7
PZA00257.11	10
PZA00257.22	10
PZA00261.6	5
PZA00263.14	1
PZA00266.5	6
PZA00270.3	multiple
PZA00273.1	5
PZA00274.7	1
PZA00277.17	2
PZA00277.9	2
PZA00280.14	2
PZA00287.1	9
PZA00289.11	1
PZA00294.20	1
PZA00296.6	2
PZA00297.2	3
PZA00297.3	3
PZA00297.4	3
PZA00298.4	8
PZA00298.5	8
PZA00299.2	8
PZA00300.12	5
PZA00300.13	5
PZA00300.14	5
PZA00300.16	5
PZA00301.3	1
PZA00303.19	3
PZA00303.21	3
PZA00307.12	1
PZA00307.14	1
PZA00307.17	1
PZA00309.2	3
PZA00310.5	10
PZA00314.6	8
PZA00314.8	8
PZA00315.1	4
PZA00315.6	4
PZA00318.2	1
PZA00323.3	9
PZA00323.4	9
PZA00326.16	7
PZA00326.18	7
PZA00326.19	7
PZA00332.8	4
PZA00332.9	4
PZA00334.2	8
PZA00335.12	multiple
PZA00337.3	10
PZA00337.4	10
PZA00337.5	10
